repo_name,provider,has_pipeline_state,run_started_at,run_completed_at,run_duration_sec,pipeline_completed,n_stages,stage_sequence
robustness-vs-artifacts-21e9-claude,codex,True,2026-04-20T05:13:29.788816,2026-04-20T05:49:33.453639,2163.664823,True,2,resource_finder|experiment_runner
hidden-misalignment-llm-6ab7-claude,codex,True,2026-04-20T05:59:34.914537,2026-04-20T06:51:48.293635,3133.379098,True,2,resource_finder|experiment_runner
stat-meta-robustness-948b-claude,codex,True,2026-04-20T07:01:02.938833,2026-04-20T07:34:02.484495,1979.545662,True,2,resource_finder|experiment_runner
adv-robust-battery-sim-9bd0-claude,codex,True,2026-04-20T07:45:22.011761,2026-04-20T08:30:26.769172,2704.757411,True,2,resource_finder|experiment_runner
misalignment-thresholds-151f-claude,codex,True,2026-04-20T08:40:39.239835,2026-04-20T09:07:35.992602,1616.752767,True,2,resource_finder|experiment_runner
mlp-hidden-state-b821-claude,codex,True,2026-04-24T19:49:02.629109,2026-04-24T21:39:42.669663,6640.040554,True,2,resource_finder|experiment_runner
layernorm-concept-assoc-dbdc-claude,codex,True,2026-04-26T02:40:44.719050,2026-04-26T04:28:36.941009,6472.221959,True,2,resource_finder|experiment_runner
llm-recommender-efficacy-84bb-claude,codex,True,2026-04-26T03:24:29.041253,2026-04-26T04:15:31.443932,3062.402679,True,2,resource_finder|experiment_runner
mlp-hidden-state-1a8c-codex,codex,True,2026-04-27T01:08:47.223647,2026-04-27T01:28:51.956654,1204.733007,True,2,resource_finder|experiment_runner
mlp-hidden-state-2c11-gemini,codex,True,2026-04-27T02:01:53.567473,2026-04-27T02:21:38.166326,1184.598853,True,2,resource_finder|experiment_runner
llm-standard-knowledge-e336-gemini,codex,True,2026-04-27T02:44:02.903213,2026-04-27T03:00:54.415075,1011.511862,True,2,resource_finder|experiment_runner
llm-standard-knowledge-9f5d-codex,codex,True,2026-04-27T17:11:40.041064,2026-04-27T17:51:57.920926,2417.879862,True,2,resource_finder|experiment_runner
agents-avoid-collapse-4c30-gemini,codex,True,2026-04-27T20:29:57.483839,2026-04-27T21:27:05.357248,3427.873409,True,2,resource_finder|experiment_runner
llm-standard-knowledge-c8f8-claude,codex,True,2026-04-27T20:31:24.890875,2026-04-27T22:15:36.336700,6251.445825,True,2,resource_finder|experiment_runner
agents-avoid-collapse-6c08-codex,codex,True,2026-04-28T04:02:22.381677,2026-04-28T04:32:57.904783,1835.523106,True,2,resource_finder|experiment_runner
agents-avoid-collapse-2361-claude,codex,True,2026-04-28T05:14:19.851395,2026-04-28T07:03:19.476089,6539.624694,True,2,resource_finder|experiment_runner
reverse-engineer-null-6299-claude,codex,True,2026-04-28T16:01:46.470574,2026-04-28T16:41:00.321616,2353.851042,True,2,resource_finder|experiment_runner
science-of-sycophancy-ee2b-claude,codex,True,2026-05-01T06:17:16.649736,2026-05-01T07:22:08.945245,3892.295509,True,2,resource_finder|experiment_runner
theory-of-simulation-1d19-claude,codex,True,2026-05-03T20:33:40.672380,2026-05-03T22:27:05.553637,6804.881257,True,2,resource_finder|experiment_runner
simulation-theory-ai-54bc-gemini,codex,True,2026-05-03T21:05:19.768870,2026-05-03T21:25:10.859360,1191.09049,True,2,resource_finder|experiment_runner
llm-recommendation-impact-2d38-gemini,codex,True,2026-05-03T21:07:03.084256,2026-05-03T21:26:38.600402,1175.516146,True,2,resource_finder|experiment_runner
layernorm-concept-assoc-8ff1-gemini,codex,True,2026-05-03T21:35:07.951752,2026-05-03T21:55:55.713977,1247.762225,True,2,resource_finder|experiment_runner
layernorm-concept-assoc-65c1-codex,codex,True,2026-05-04T20:51:11.803330,2026-05-04T21:19:46.388677,1714.585347,True,2,resource_finder|experiment_runner
align-failures-taxonomy-db56-claude,codex,True,2026-05-05T01:33:44.910357,2026-05-06T01:59:07.289666,87922.379309,True,2,resource_finder|experiment_runner
llms-recommendation-ef-d7dc-codex,codex,True,2026-05-05T04:09:13.422729,2026-05-05T04:50:44.015571,2490.592842,True,2,resource_finder|experiment_runner
theory-of-simulation-6163-codex,codex,True,2026-05-05T17:02:10.190089,2026-05-05T17:31:28.879304,1758.689215,True,2,resource_finder|experiment_runner
hashmap-attention-5994-claude,codex,True,2026-05-06T17:47:48.990511,2026-05-06T18:35:07.361198,2838.370687,True,2,resource_finder|experiment_runner
theory-of-simulation-ed89-claude,codex,True,2026-05-06T18:34:12.257281,2026-05-06T19:46:09.221506,4316.964225,True,2,resource_finder|experiment_runner
gatekeeping-signaling-f85b-claude,codex,True,2026-05-06T19:55:57.649272,2026-05-06T20:34:34.477373,2316.828101,True,2,resource_finder|experiment_runner
talkie-generalization-ff5d-codex,codex,True,2026-05-10T08:40:59.486532,2026-05-10T09:33:48.498829,3169.012297,True,2,resource_finder|experiment_runner
talkie-generalization-8356-gemini,codex,True,2026-05-10T19:42:33.848182,2026-05-10T21:00:56.042633,4702.194451,True,2,resource_finder|experiment_runner
llm-judgment-impact-7e69-codex,codex,True,2026-05-11T04:55:28.263422,2026-05-11T05:36:58.893415,2490.629993,True,2,resource_finder|experiment_runner
align-failure-taxonomy-d26d-codex,codex,True,2026-05-11T22:10:02.697342,2026-05-11T22:30:10.234854,1207.537512,True,2,resource_finder|experiment_runner
llm-judgment-effect-fa08-gemini,codex,True,2026-05-12T01:46:57.707493,2026-05-12T02:49:16.867339,3739.159846,True,2,resource_finder|experiment_runner
