provider,event_type,count,provider_fraction
claude,error,3422,0.020952730835170217
claude,message,18411,0.11272961058045555
claude,other,1252,0.007665931912809209
claude,status,44869,0.2747305902522655
claude,tool_call,49372,0.3023022287533676
claude,tool_result,45994,0.2816189076659319
codex,artifact_change,1043,0.031750380517503805
codex,error,865,0.026331811263318114
codex,message,8199,0.24958904109589042
codex,other,697,0.02121765601217656
codex,status,880,0.026788432267884323
codex,tool_call,11021,0.3354946727549467
codex,tool_result,10145,0.30882800608828004
gemini,error,100,0.003637951105937136
gemini,message,12972,0.4719150174621653
gemini,other,10,0.00036379511059371364
gemini,status,305,0.011095750873108266
gemini,tool_call,7095,0.2581126309662398
gemini,tool_result,7006,0.25487485448195574
